"filename", "language", "JSON with Comments", "JSON", "TypeScript", "TypeScript JSX", "PostCSS", "JavaScript", "XML", "Markdown", "comment", "blank", "total"
"c:\Users\colli\OneDrive\Desktop\tradirise-web-nz\src\app\(dashboard)\settings\page.tsx", "TypeScript JSX", 0, 0, 0, 23, 0, 0, 0, 0, 1, 6, 30
"c:\Users\colli\OneDrive\Desktop\tradirise-web-nz\src\app\(dashboard)\terms\page.tsx", "TypeScript JSX", 0, 0, 0, 231, 0, 0, 0, 0, 1, 20, 252
"c:\Users\colli\OneDrive\Desktop\tradirise-web-nz\src\app\(dashboard)\testing\page.tsx", "TypeScript JSX", 0, 0, 0, 25, 0, 0, 0, 0, 1, 4, 30
"c:\Users\colli\OneDrive\Desktop\tradirise-web-nz\src\app\api\ad-responses\check-existing\route.ts", "TypeScript", 0, 0, 50, 0, 0, 0, 0, 0, 0, 11, 61
"c:\Users\colli\OneDrive\Desktop\tradirise-web-nz\src\app\api\ad-responses\check-limit\route.ts", "TypeScript", 0, 0, 35, 0, 0, 0, 0, 0, 0, 8, 43
"c:\Users\colli\OneDrive\Desktop\tradirise-web-nz\src\app\api\ad-responses\route.ts", "TypeScript", 0, 0, 79, 0, 0, 0, 0, 0, 3, 14, 96
"c:\Users\colli\OneDrive\Desktop\tradirise-web-nz\src\app\api\businesses\contact\route.ts", "TypeScript", 0, 0, 198, 0, 0, 0, 0, 0, 18, 32, 248
"c:\Users\colli\OneDrive\Desktop\tradirise-web-nz\src\app\api\cancel-subscription\route.ts", "TypeScript", 0, 0, 119, 0, 0, 0, 0, 0, 10, 23, 152
"c:\Users\colli\OneDrive\Desktop\tradirise-web-nz\src\app\api\checkout\route.ts", "TypeScript", 0, 0, 210, 0, 0, 0, 0, 0, 12, 40, 262
"c:\Users\colli\OneDrive\Desktop\tradirise-web-nz\src\app\api\my-favourites\route.ts", "TypeScript", 0, 0, 207, 0, 0, 0, 0, 0, 17, 46, 270
"c:\Users\colli\OneDrive\Desktop\tradirise-web-nz\src\app\api\my-saved-trades\route.ts", "TypeScript", 0, 0, 117, 0, 0, 0, 0, 0, 6, 22, 145
"c:\Users\colli\OneDrive\Desktop\tradirise-web-nz\src\app\api\notifications\delete\route.ts", "TypeScript", 0, 0, 37, 0, 0, 0, 0, 0, 0, 8, 45
"c:\Users\colli\OneDrive\Desktop\tradirise-web-nz\src\app\api\notifications\mark-all-read\route.ts", "TypeScript", 0, 0, 30, 0, 0, 0, 0, 0, 0, 6, 36
"c:\Users\colli\OneDrive\Desktop\tradirise-web-nz\src\app\api\notifications\mark-read\route.ts", "TypeScript", 0, 0, 37, 0, 0, 0, 0, 0, 0, 8, 45
"c:\Users\colli\OneDrive\Desktop\tradirise-web-nz\src\app\api\payments\route.ts", "TypeScript", 0, 0, 40, 0, 0, 0, 0, 0, 0, 7, 47
"c:\Users\colli\OneDrive\Desktop\tradirise-web-nz\src\app\api\personnel\contact\route.ts", "TypeScript", 0, 0, 203, 0, 0, 0, 0, 0, 17, 31, 251
"c:\Users\colli\OneDrive\Desktop\tradirise-web-nz\src\app\api\plans\route.ts", "TypeScript", 0, 0, 74, 0, 0, 0, 0, 0, 2, 9, 85
"c:\Users\colli\OneDrive\Desktop\tradirise-web-nz\src\app\api\positions\contact\route.ts", "TypeScript", 0, 0, 229, 0, 0, 0, 0, 0, 17, 34, 280
"c:\Users\colli\OneDrive\Desktop\tradirise-web-nz\src\app\api\projects\contact\route.ts", "TypeScript", 0, 0, 230, 0, 0, 0, 0, 0, 17, 33, 280
"c:\Users\colli\OneDrive\Desktop\tradirise-web-nz\src\app\api\r2\upload\route.ts", "TypeScript", 0, 0, 151, 0, 0, 0, 0, 0, 29, 25, 205
